"","MinSampSize","System","Realm","Taxon"
"1",582.616116745743,"Terrestrial","Afrotropic","Birds"
"2",95.973752372171,"Terrestrial","Afrotropic","Mammals"
"3",114.310397905806,"Terrestrial","Afrotropic","Reptiles & Amphibians"
"5",447.916102283604,"Terrestrial","IndoPacific","Birds"
"6",172.271026693058,"Terrestrial","IndoPacific","Mammals"
"7",528.088028481613,"Terrestrial","IndoPacific","Reptiles & Amphibians"
"9",77.4102311224365,"Terrestrial","Palearctic","Birds"
"10",116.104961897852,"Terrestrial","Palearctic","Mammals"
"11",114.201215646513,"Terrestrial","Palearctic","Reptiles & Amphibians"
"13",315.125990131349,"Terrestrial","Neotropic","Birds"
"14",442.782930277807,"Terrestrial","Neotropic","Mammals"
"15",254.497505571146,"Terrestrial","Neotropic","Reptiles & Amphibians"
"17",32.2706719218259,"Terrestrial","Nearctic","Birds"
"18",393.45708393603,"Terrestrial","Nearctic","Mammals"
"19",479.585514573796,"Terrestrial","Nearctic","Reptiles & Amphibians"
"21",7.38642025349264,"Terrestrial","Antarctica","Birds"
"25",6466.65082564784,"Freshwater","Afrotropic","Birds"
"26",40.8560714191754,"Freshwater","Afrotropic","Mammals"
"27",62.2991173230342,"Freshwater","Afrotropic","Reptiles & Amphibians"
"28",1178.07572186846,"Freshwater","Afrotropic","Fishes"
"29",340.569084206285,"Freshwater","IndoPacific","Birds"
"30",54.6756252783348,"Freshwater","IndoPacific","Mammals"
"31",213.554189114919,"Freshwater","IndoPacific","Reptiles & Amphibians"
"32",691.271231250947,"Freshwater","IndoPacific","Fishes"
"33",186.239686771728,"Freshwater","Palearctic","Birds"
"34",212.841130179364,"Freshwater","Palearctic","Mammals"
"35",153.087602888931,"Freshwater","Palearctic","Reptiles & Amphibians"
"36",657.131906061942,"Freshwater","Palearctic","Fishes"
"37",159.757865491532,"Freshwater","Neotropic","Birds"
"38",306.596982601823,"Freshwater","Neotropic","Mammals"
"39",248.81716099685,"Freshwater","Neotropic","Reptiles & Amphibians"
"40",797.867221069953,"Freshwater","Neotropic","Fishes"
"41",23.3282958897979,"Freshwater","Nearctic","Birds"
"42",37.7760049389001,"Freshwater","Nearctic","Mammals"
"43",463.679953443088,"Freshwater","Nearctic","Reptiles & Amphibians"
"44",282.107078815245,"Freshwater","Nearctic","Fishes"
"49",103.880518335925,"Marine","Temperate Atlantic","Birds"
"50",208.391401237985,"Marine","Temperate Atlantic","Mammals"
"51",259.568711324938,"Marine","Temperate Atlantic","Reptiles & Amphibians"
"52",463.861928275489,"Marine","Temperate Atlantic","Fishes"
"53",233.599839997841,"Marine","Tropical Atlantic","Birds"
"54",256.23169719873,"Marine","Tropical Atlantic","Mammals"
"55",638.093900532483,"Marine","Tropical Atlantic","Reptiles & Amphibians"
"56",588.57974320812,"Marine","Tropical Atlantic","Fishes"
"57",138.416935446139,"Marine","Arctic","Birds"
"58",83.8075326235429,"Marine","Arctic","Mammals"
"60",299.400645411967,"Marine","Arctic","Fishes"
"61",82.4855350229866,"Marine","South temperate","Birds"
"62",56.1208543295805,"Marine","South temperate","Mammals"
"64",299.930477494221,"Marine","South temperate","Fishes"
"65",219.695600640196,"Marine","IndoPacific","Birds"
"66",99.0942040858008,"Marine","IndoPacific","Mammals"
"67",293.859690739287,"Marine","IndoPacific","Reptiles & Amphibians"
"68",381.604157722942,"Marine","IndoPacific","Fishes"
"69",92.1572890533427,"Marine","Pacific temperate","Birds"
"70",188.544662232758,"Marine","Pacific temperate","Mammals"
"71",82.2203362998377,"Marine","Pacific temperate","Reptiles & Amphibians"
"72",181.827591983686,"Marine","Pacific temperate","Fishes"
