"","x"
"1",20.9834022886384
"2",761.745645685847
"3",38.5532912772159
"4",NA
"5",77.2780079063211
"6",126.680918765055
"7",12.2945868755456
"8",NA
"9",1696.22387689434
"10",1413.53308970203
"11",41.1951212177186
"12",NA
"13",88.9041725791112
"14",36.2985944672043
"15",68.7402606901232
"16",NA
"17",7926.2830145436
"18",149.913957892914
"19",20.3462354290825
"20",NA
"21",25.7042015497476
"22",NA
"23",NA
"24",NA
"25",2.51868271009012
"26",39.0685341984379
"27",22.1185116960342
"28",12.4733857137211
"29",62.4140877364913
"30",45.8731579546263
"31",51.0006400917259
"32",27.040373631674
"33",598.828655461343
"34",60.2359595649895
"35",50.747028218932
"36",71.2098646677817
"37",42.9656203727041
"38",3.32058398699586
"39",29.0363958949509
"40",29.0874146046661
"41",3329.99618738239
"42",69.9624078732121
"43",52.7160534379615
"44",222.935607964379
"45",NA
"46",NA
"47",NA
"48",NA
"49",574.867981131019
"50",69.6722156287654
"51",16.3358412528934
"52",473.576468438074
"53",57.2145806596406
"54",5.64701311590154
"55",13.7615934026019
"56",388.769064643307
"57",98.1411029231273
"58",54.6790366982247
"59",NA
"60",8.62231355716052
"61",495.879707793282
"62",36.2093241076687
"63",NA
"64",62.0834439265481
"65",69.8061537083492
"66",57.0298087890666
"67",22.2389913340175
"68",222.350424311228
"69",221.994511086879
"70",58.7987378240885
"71",1.82274468804911
"72",338.351026514874
